Kecamatan,Latitude,Longitude,Kepadatan_Penduduk
Semende Darat Laut,"-4,1195808","103,614979",57.02
Semende Darat Ulu,"-4,1912276","103,5491868",42.67
Semende Darat Tengah,"-4,1678896","103,5813293",37.84
Tanjung Agung,"-4,0079184","103,7980529",57.78
Panang Enim,"-4,006565","103,825377",69.14
Rambang,"-3,5789672","104,097138",75.96
Lubai,"-3,6802746","104,3010686",52.03
Lubai Ulu,"-3,904138","104,023338",71.54
Lawang Kidul,"-3,7524635","103,8053485",264.92
Muara Enim,"-3,6632234","103,7781606",425.02
Ujan Mas,"-3,5328195","103,7744866",86.61
Gunung Megang,"-3,4088515","103,967265",76.02
Benakat,"-3,4319283","103,8308008",23.34
Belimbing,"-3,43503","103,987852",180.46
Rambang Niru,"-3,7460157","103,9831939",55.23
Empat Petulai Dangku,"-3,380995","104,077414",148.55
Gelumbang,"-3,2381335","104,4367653",90.08
Lembak,"-3,351955","104,361097",196.10
Sungai Rotan,"-3,1966206","104,2633153",96.40
Muara Belida,"-3,0845018","104,5941228",40.44
Kelekar,"-3,3563436","104,4519162",84.98
Belida Darat,"-3,468988","104,38673",51.10